9	8	1964
10	8	840
11	8	224
12	8	2084
13	8	2035
14	8	2108
16	8	1995
89	8	2077
90	8	1913
91	8	2135
32	8	131
33	11	423
34	11	2060
35	11	493
36	11	2035
37	4	2005
38	4	2053
44	11	452
92	8	222
93	8	2144
94	8	2140
51	8	487
52	8	200
53	8	2123
95	8	2001
62	5	343
64	5	2085
63	5	2035
17	7	1964
21	7	1995
22	7	132
15	7	452
23	7	2035
30	7	131
39	7	1732
40	7	2113
28	7	2099
24	7	840
47	7	1748
46	7	2114
43	7	493
41	7	347
42	7	1898
58	7	487
54	7	710
59	7	200
57	7	2112
61	7	2123
49	7	2060
60	7	1596
67	19	423
6	5	344
5	5	176
4	5	1748
3	5	445
2	5	1404
8	5	535
7	5	840
77	5	177
76	5	423
78	5	449
75	5	942
97	8	2136
99	8	241
100	4	1142
101	4	2154
107	19	157
106	19	1913
105	19	1228
104	19	828
108	8	987
68	19	177
69	19	535
71	19	2035
70	19	176
72	19	1995
74	19	1748
73	19	1008
103	19	942
102	19	840
112	8	1359
113	8	2222
114	8	2074
117	8	2234
121	27	2113
122	27	2114
147	27	1449
150	27	487
154	27	942
153	27	1008
151	27	344
149	27	177
148	27	364
120	27	452
109	27	1404
110	27	157
155	27	535
157	27	2242
127	37	2035
124	37	493
126	37	1748
128	37	347
125	37	344
129	37	942
130	37	2227
132	37	229
131	37	1685
134	37	1442
135	37	364
137	37	487
138	37	423
136	37	1900
139	37	840
141	37	1404
143	37	2074
140	37	449
142	37	157
158	37	894
146	37	939
159	37	762
156	37	224
144	37	452
145	37	1913
160	37	1523
161	37	757
162	37	1991
163	30	2181
165	30	519
166	30	229
167	30	451
168	30	1573
169	30	2205
170	30	346
171	30	2177
172	30	1157
173	30	965
174	30	2169
175	30	1913
119	27	241
152	27	1900
176	30	2228
177	30	2237
178	30	1619
179	30	139
180	30	710
181	30	2194
182	30	2236
183	30	2167
184	30	1248
185	30	1725
186	30	2206
187	30	755
188	30	1263
189	30	1690
190	30	1188
191	30	2230
192	30	2231
193	30	2189
194	30	2229
195	30	2213
196	30	1228
197	30	830
198	30	535
199	30	347
200	30	2212
201	30	2233
202	30	1576
203	30	2195
204	30	177
205	30	423
206	30	1909
207	30	1622
208	30	2176
209	30	2159
210	30	158
211	30	1011
213	30	190
214	30	2172
215	30	2187
216	30	1361
217	30	1580
218	30	1649
219	30	2198
164	30	166
212	30	1658
220	8	2242
221	8	1894
123	27	347
226	42	487
224	42	423
225	42	157
227	42	280
223	42	177
229	42	1404
230	42	189
228	42	942
231	42	2257
234	42	2261
236	42	310
237	42	2242
235	42	2060
233	42	347
242	42	2035
239	42	1517
238	42	1596
240	42	2262
241	42	939
243	42	341
245	42	935
247	42	2247
246	42	1773
248	42	2259
252	57	189
254	57	176
257	57	177
258	57	423
251	57	840
255	57	229
259	57	445
