1559	\N	\N
2452	\N	\N
20	\N	\N
1625	1313	\N
18	151	\N
3332	\N	\N
9	1125	\N
28	160	\N
1724	1248	\N
19	\N	\N
31	166	\N
21	153	\N
44	193	\N
17	150	\N
1796	1409	\N
27	159	\N
26	158	\N
1672	\N	\N
24	\N	\N
33	176	\N
2889	\N	\N
25	157	\N
23	155	\N
29	164	\N
32	\N	7
37	186	\N
34	\N	\N
35	179	7
38	\N	\N
36	185	\N
6	\N	\N
39	188	\N
41	203	\N
40	189	\N
42	190	\N
43	192	\N
46	199	\N
53	213	\N
49	206	\N
54	214	\N
45	197	\N
50	207	\N
56	216	\N
1597	\N	141
10	131	\N
1635	1320	\N
66	\N	\N
1725	\N	\N
1675	1345	\N
72	234	\N
75	\N	\N
71	\N	\N
3333	\N	\N
78	240	\N
77	239	\N
84	243	\N
67	230	\N
80	241	\N
63	223	\N
85	244	\N
82	890	\N
79	\N	8
1673	\N	\N
68	231	\N
91	250	\N
1711	\N	\N
76	238	\N
1560	\N	\N
89	248	\N
94	253	\N
90	249	\N
86	245	\N
83	\N	\N
95	254	\N
98	257	\N
103	258	\N
107	\N	9
92	251	\N
1762	\N	\N
106	261	\N
113	267	\N
96	255	\N
99	\N	\N
65	228	\N
108	263	\N
109	264	\N
100	\N	\N
101	\N	\N
102	\N	\N
105	382	\N
1598	1295	\N
112	\N	\N
1637	1322	\N
131	283	\N
1636	1321	\N
127	280	\N
128	281	\N
126	284	\N
138	290	\N
135	\N	\N
1726	\N	153
129	\N	\N
1763	1392	\N
120	277	\N
1674	\N	\N
147	298	\N
111	\N	\N
133	286	\N
146	\N	\N
136	288	\N
137	289	\N
141	292	\N
155	305	\N
143	294	\N
2573	\N	\N
154	304	\N
139	\N	\N
144	295	\N
150	299	\N
152	302	\N
153	303	\N
164	311	\N
1561	\N	\N
151	301	\N
157	306	\N
161	310	\N
148	\N	\N
159	308	\N
160	309	\N
124	\N	9
167	314	\N
169	330	\N
166	313	\N
1599	1297	\N
165	\N	\N
168	\N	\N
1823	\N	\N
162	\N	\N
1638	1323	\N
1600	1298	\N
1641	1333	\N
1713	1368	\N
197	356	\N
186	387	\N
1797	\N	157
187	\N	\N
191	352	\N
190	\N	15
3094	2104	\N
180	345	\N
1822	1435	\N
192	353	\N
1843	\N	161
189	351	\N
198	357	\N
207	\N	\N
188	\N	\N
206	365	\N
214	516	\N
223	\N	20
202	361	\N
1858	1461	\N
209	\N	17
194	354	\N
215	\N	8
203	362	\N
204	363	\N
212	\N	16
227	372	\N
205	364	\N
225	373	\N
216	368	\N
217	\N	\N
213	\N	\N
208	\N	\N
1764	\N	\N
222	\N	19
228	374	\N
229	\N	21
226	\N	\N
179	344	\N
200	359	\N
176	\N	\N
183	\N	\N
234	378	\N
244	\N	\N
230	375	\N
252	\N	11
247	393	\N
1645	1324	\N
248	392	\N
1601	\N	\N
245	390	\N
1639	\N	\N
254	\N	\N
1676	\N	\N
250	\N	\N
251	395	\N
1646	1325	\N
1714	1367	\N
260	399	\N
263	\N	\N
259	\N	\N
257	398	\N
268	404	\N
265	401	\N
1765	1393	\N
256	\N	\N
2366	\N	\N
264	400	\N
272	407	\N
233	377	\N
1563	\N	\N
271	406	\N
275	410	\N
261	\N	\N
273	\N	\N
2663	\N	\N
274	409	\N
281	420	\N
266	\N	\N
285	423	\N
269	405	\N
286	585	\N
232	47	\N
238	383	\N
243	389	\N
270	\N	\N
279	\N	\N
282	\N	\N
277	\N	\N
1640	\N	147
294	430	\N
299	433	\N
1602	1299	\N
1651	1330	\N
304	613	\N
312	442	\N
311	441	\N
300	434	\N
1798	1410	\N
2453	\N	185
310	\N	\N
307	\N	\N
303	436	\N
650	\N	\N
334	2286	\N
322	449	\N
318	\N	\N
314	443	\N
320	447	\N
308	440	\N
309	\N	25
329	690	\N
331	456	\N
330	455	\N
327	454	\N
319	\N	\N
321	448	\N
343	462	\N
332	457	\N
342	469	\N
323	450	\N
339	460	\N
345	464	\N
336	\N	\N
338	\N	\N
340	461	\N
341	\N	\N
1564	\N	140
337	\N	\N
344	463	\N
1844	\N	\N
293	429	\N
306	439	\N
316	\N	\N
325	\N	\N
358	474	\N
1766	1394	\N
356	473	\N
365	479	\N
359	\N	\N
1716	\N	152
362	477	\N
2672	\N	199
1678	\N	\N
392	\N	\N
370	483	\N
368	\N	\N
373	485	\N
1730	\N	\N
376	\N	\N
378	488	\N
1565	\N	\N
375	\N	27
380	490	\N
372	\N	\N
386	496	\N
374	486	\N
379	489	\N
385	495	\N
346	465	\N
399	505	\N
381	491	\N
383	493	\N
393	500	\N
391	498	\N
384	494	\N
387	\N	\N
389	\N	\N
390	539	\N
388	497	\N
397	503	\N
401	506	\N
395	502	\N
404	508	\N
1603	1300	\N
400	\N	\N
396	\N	\N
402	\N	\N
354	1073	\N
349	468	\N
364	\N	\N
1604	1301	\N
414	515	\N
1642	\N	39
1677	1352	\N
426	523	\N
1717	1371	\N
415	899	\N
420	518	\N
425	522	\N
409	\N	\N
432	\N	32
423	520	\N
3590	\N	\N
458	\N	\N
428	\N	\N
2763	\N	\N
424	521	\N
2890	\N	\N
439	531	\N
427	524	\N
434	526	\N
430	\N	\N
431	1123	\N
436	528	\N
441	533	\N
451	540	\N
450	\N	\N
442	534	\N
1566	1273	\N
445	\N	\N
446	537	\N
438	530	\N
453	542	\N
449	538	\N
459	544	\N
1767	\N	\N
455	\N	\N
454	\N	31
456	\N	\N
457	543	\N
460	546	\N
412	513	\N
413	514	\N
416	\N	29
437	529	\N
440	532	\N
1679	1348	\N
467	\N	\N
1605	1302	\N
473	556	\N
518	580	\N
475	\N	\N
478	\N	\N
471	\N	\N
1728	\N	154
474	638	\N
1643	\N	\N
486	561	\N
2664	\N	\N
481	\N	\N
480	\N	\N
1718	\N	\N
483	559	\N
1732	\N	\N
485	\N	\N
491	564	\N
490	\N	\N
500	566	\N
501	567	\N
1768	\N	\N
495	\N	\N
492	\N	\N
498	\N	\N
502	568	\N
507	573	\N
503	569	\N
