232	1995	6	\N	closed	withdrawn	\N	\N	f
212	1634	6	\N	closed	expired	\N	\N	f
1318	2295	51	\N	open	\N	\N	\N	f
194	201	1	\N	closed	withdrawn	\N	\N	f
210	1261	6	\N	closed	expired	\N	\N	f
1148	177	22	\N	closed	expired	\N	\N	f
178	1442	5	17202	closed	\N	\N	\N	f
206	1748	6	\N	closed	expired	\N	\N	f
216	1898	1	\N	closed	withdrawn	\N	\N	f
94	987	1	\N	closed	withdrawn	\N	\N	f
256	1991	1	\N	closed	declined	Sorry we are not holding music June 11th	\N	f
224	987	1	16353	closed	\N	\N	\N	f
64	1892	1	\N	closed	declined	All dates are open for the summer for artists wishing to book a specific date.	\N	f
107	1884	1	\N	closed	declined	All dates are open for the summer for artists wishing to book a specific date.	\N	f
214	1964	6	\N	closed	expired	\N	\N	f
222	1163	6	\N	closed	expired	\N	\N	f
236	229	6	\N	closed	expired	\N	\N	f
220	343	5	\N	closed	accepted	\N	\N	f
260	1926	1	16742	closed	\N	\N	\N	f
188	2090	1	16409	closed	\N	\N	\N	f
228	241	6	\N	closed	expired	\N	\N	f
186	395	5	16771	closed	\N	\N	\N	f
250	2069	8	\N	closed	withdrawn	\N	\N	f
248	1964	8	\N	closed	accepted	\N	\N	f
192	2092	1	\N	closed	declined		\N	f
246	1771	6	16428	closed	\N	\N	\N	f
190	449	5	\N	closed	accepted	\N	\N	f
226	201	2	\N	closed	expired	\N	\N	f
230	2084	6	\N	closed	expired	\N	\N	f
234	675	5	\N	closed	expired	\N	\N	f
240	1061	2	\N	closed	expired	\N	\N	f
238	2099	6	\N	closed	expired	\N	\N	f
263	2108	8	\N	closed	accepted	\N	\N	f
242	2101	6	\N	closed	expired	\N	\N	f
244	189	6	\N	closed	expired	\N	\N	f
252	2035	6	\N	closed	expired	\N	\N	f
321	2060	10	\N	closed	expired	\N	\N	f
318	452	10	\N	closed	expired	\N	\N	f
723	224	23	\N	closed	expired	\N	\N	f
1579	2099	63	\N	open	\N	\N	\N	f
1653	2113	62	\N	open	\N	\N	\N	f
72	445	4	\N	closed	withdrawn	\N	\N	f
97	2050	3	\N	closed	expired	\N	\N	f
45	2003	3	16086	closed	\N	\N	\N	f
105	341	1	16372	closed	\N	\N	\N	f
1149	942	22	\N	closed	expired	\N	\N	f
102	1905	1	\N	closed	declined	All dates are open for the summer for artists wishing to book a specific date.	\N	f
106	1995	1	\N	closed	declined	All dates are open for the summer for artists wishing to book a specific date.	\N	f
109	1732	1	\N	closed	declined	All dates are open for the summer for artists wishing to book a specific date.	\N	f
79	2046	3	16109	closed	\N	\N	\N	f
115	1012	1	\N	closed	declined	All dates are open for the summer for artists wishing to book a specific date.	\N	f
75	2037	3	16110	closed	\N	\N	\N	f
85	1992	2	\N	closed	expired	\N	\N	f
73	2005	4	\N	closed	accepted	\N	\N	f
1489	2314	51	\N	open	\N	\N	\N	f
1234	493	22	\N	closed	expired	\N	\N	f
96	2050	4	\N	closed	declined	Street Sound Sundays is a program that is targeted towards solos, duos, & trios. Thank you for applying!	\N	f
81	2045	3	16115	closed	\N	\N	\N	f
1413	2303	46	\N	closed	expired	\N	\N	f
99	224	2	\N	closed	expired	\N	\N	f
86	2053	4	\N	closed	accepted	\N	\N	f
78	2043	3	16125	closed	\N	\N	\N	f
100	2055	2	\N	closed	expired	\N	\N	f
90	452	2	\N	closed	expired	\N	\N	f
93	2058	3	\N	closed	expired	\N	\N	f
89	2054	3	16128	closed	\N	\N	\N	f
101	1634	2	\N	closed	expired	\N	\N	f
103	1905	2	\N	closed	expired	\N	\N	f
104	2064	3	\N	closed	expired	\N	\N	f
92	2057	3	16134	closed	\N	\N	\N	f
108	2041	2	\N	closed	expired	\N	\N	f
91	2056	3	16138	closed	\N	\N	\N	f
110	1404	2	\N	closed	expired	\N	\N	f
112	2072	3	\N	closed	expired	\N	\N	f
87	2034	3	16139	closed	\N	\N	\N	f
179	1312	2	\N	closed	expired	\N	\N	f
543	241	23	\N	closed	expired	\N	\N	f
98	2059	3	16143	closed	\N	\N	\N	f
114	445	5	\N	closed	withdrawn	\N	\N	f
116	445	5	\N	closed	withdrawn	\N	\N	f
111	1399	1	16328	closed	\N	\N	\N	f
117	843	5	\N	closed	accepted	\N	\N	f
1580	942	63	\N	open	\N	\N	\N	f
118	1497	1	\N	closed	withdrawn	\N	\N	f
138	176	1	\N	closed	declined	All dates are open for the summer for artists wishing to book a specific date.	\N	f
133	1294	5	\N	closed	expired	\N	\N	f
160	1964	5	16687	closed	\N	\N	\N	f
127	1906	5	17233	closed	\N	\N	\N	f
168	987	5	\N	closed	expired	\N	\N	f
147	445	5	\N	closed	expired	\N	\N	f
1721	987	53	\N	closed	expired	\N	\N	f
156	1636	5	\N	closed	expired	\N	\N	f
164	2069	5	16563	closed	\N	\N	\N	f
125	1995	5	16695	closed	\N	\N	\N	f
172	347	5	17253	closed	\N	\N	\N	f
135	276	5	16701	closed	\N	\N	\N	f
131	1771	5	16258	closed	\N	\N	\N	f
132	1404	5	\N	closed	accepted	\N	\N	f
1414	2303	51	\N	open	\N	\N	\N	f
1235	493	41	\N	closed	expired	\N	\N	f
170	2082	5	\N	closed	expired	\N	\N	f
169	987	2	\N	closed	expired	\N	\N	f
119	423	5	16268	closed	\N	\N	\N	f
158	241	5	16708	closed	\N	\N	\N	f
314	347	10	\N	closed	expired	\N	\N	f
167	2035	5	\N	closed	accepted	\N	\N	f
544	1102	23	\N	closed	expired	\N	\N	f
122	1898	5	\N	closed	withdrawn	\N	\N	f
123	493	5	16776	closed	\N	\N	\N	f
140	1898	5	\N	closed	withdrawn	\N	\N	f
129	942	5	\N	closed	accepted	\N	\N	f
130	229	5	16275	closed	\N	\N	\N	f
144	423	5	\N	closed	accepted	\N	\N	f
159	177	5	\N	closed	accepted	\N	\N	f
