62	149	\N
5	123	\N
11	48	\N
36	139	\N
21	130	\N
35	139	\N
6	123	\N
19	129	\N
28	139	\N
25	133	\N
7	123	\N
1	44	\N
9	48	\N
53	141	\N
54	141	\N
23	130	\N
12	48	\N
13	120	\N
52	140	\N
8	48	\N
145	193	9
150	225	13
10	48	\N
142	221	6
37	139	\N
31	141	\N
59	44	\N
156	232	18
38	139	\N
39	139	\N
40	139	\N
41	139	\N
42	139	\N
43	139	\N
44	139	\N
45	139	\N
46	139	\N
58	139	\N
4	123	\N
47	139	\N
33	44	\N
2	44	\N
3	120	\N
27	139	\N
26	140	\N
56	142	\N
14	120	\N
61	150	\N
63	152	\N
22	130	\N
57	142	\N
64	152	\N
32	141	\N
29	139	\N
24	44	\N
30	139	\N
34	139	\N
48	139	\N
49	139	\N
50	139	\N
51	139	\N
162	232	20
60	149	\N
165	219	21
159	231	19
168	219	16
171	231	27
173	139	30
182	139	30
185	139	30
191	240	31
174	139	30
55	129	\N
68	129	\N
20	129	\N
66	129	\N
70	129	\N
71	129	\N
226	221	42
69	129	\N
228	221	42
67	129	\N
230	221	42
232	221	42
234	221	42
151	225	13
148	225	13
154	219	5
160	232	18
163	232	20
236	221	42
238	221	42
157	231	19
166	234	22
169	219	24
87	186	\N
177	139	30
183	139	30
186	139	30
189	139	30
194	240	31
196	240	31
198	240	31
200	240	31
202	240	31
204	240	31
206	240	31
192	240	31
209	241	33
211	241	33
212	241	33
214	241	33
216	241	33
218	241	33
180	139	30
221	233	35
225	231	38
240	221	42
223	244	37
277	268	62
242	221	42
244	221	42
246	221	42
248	233	48
249	221	50
253	221	50
251	221	50
255	221	50
275	268	62
259	221	50
257	221	50
261	221	50
263	221	50
265	221	50
267	221	50
271	268	63
273	268	62
269	268	62
279	221	67
281	221	70
283	221	70
285	221	70
18	129	\N
16	129	\N
224	244	37
17	129	\N
222	244	37
152	225	14
227	221	42
149	225	13
155	219	5
229	221	42
161	232	18
164	219	5
231	221	42
167	149	\N
170	231	25
178	139	30
181	139	30
184	139	30
176	139	30
233	221	42
193	240	31
195	240	31
197	240	31
199	240	31
201	240	31
203	240	31
205	240	31
207	241	33
208	241	33
210	241	33
188	139	30
213	241	33
215	241	33
217	241	33
219	241	33
235	221	42
237	221	42
239	221	42
241	221	42
190	139	30
175	139	30
220	139	30
158	231	19
243	221	42
245	221	42
247	231	44
250	221	50
252	221	50
254	221	50
256	221	50
258	221	50
260	221	50
262	221	50
266	221	50
264	221	50
268	44	57
270	268	63
272	268	63
276	268	62
274	268	62
278	268	63
280	221	70
282	221	70
284	221	70
86	183	\N
65	129	\N
72	167	\N
123	197	4
172	139	30
88	186	\N
74	160	\N
75	160	\N
73	160	\N
89	193	\N
76	160	\N
15	129	\N
77	169	\N
78	25	\N
79	118	\N
80	118	\N
81	118	\N
82	183	\N
83	183	\N
84	183	\N
85	183	\N
103	200	\N
91	194	\N
90	194	\N
92	192	\N
93	199	\N
94	199	\N
124	197	4
105	200	\N
99	194	\N
100	196	\N
125	197	4
126	197	4
109	194	\N
127	210	\N
111	148	\N
112	196	\N
113	196	\N
114	196	\N
101	196	\N
110	196	\N
115	131	\N
116	210	\N
117	210	\N
95	200	\N
128	210	\N
96	200	\N
97	200	\N
98	200	\N
107	200	\N
129	210	\N
118	200	\N
102	200	\N
104	200	\N
106	200	\N
108	200	\N
119	200	\N
120	213	\N
121	213	\N
122	210	\N
130	210	\N
131	219	5
136	221	6
133	221	6
139	4	8
132	221	6
134	221	6
135	221	6
137	221	6
138	4	7
140	221	6
141	221	6
153	221	6
143	221	6
144	219	11
147	193	10
146	193	12
187	139	30
179	139	30
